id,customer_id,create_timestamp,name,name_lower,description,archiving_timestamp
1,1,2008-11-05 16:51:57,FTTN - 0031,fttn - 0031,Fibre to the Node EDW/BI Project,
2,1,2008-11-05 16:54:13,Smarter - 0037,smarter - 0037,,
3,8,2008-11-05 16:56:04,Business Development,business development,This is a project to track all of your time spent going after new business,
4,8,2008-11-05 16:56:34,Administration,administration,"This is for team meetings, general administration activities",
5,8,2008-11-05 16:57:13,0001 - Training,0001 - training,"This for activities around updating skills, both in-house as well as external",
6,1,2008-11-05 16:57:37,Nordiq - 0038,nordiq - 0038,,
7,1,2008-11-05 16:58:53,PLP3 - 0038,plp3 - 0038,This is a mobility Project under Francois Grandbois,
8,1,2008-11-05 17:00:38,EDW Strategy and Support,edw strategy and support,This is a contract for work for Charles and Marva which is approved for billable.  Any specific initiative under this contract should be treated as a Task,
9,1,2008-11-05 17:02:31,BIS - Ad Hoc Support - 0047,bis - ad hoc support - 0047,"SOW: 224-0047 - This is the new version of the project, working directly with SBI.  This project reports to Josh Reid.

SOW: 224-0026 - This is a project to provide BIS operational ad hoc support.  Initially this encompases Sympatico SBI.  This project reports to Melanie Jodoiun",
10,3,2008-11-05 00:00:00,Coaching - 0001,coaching - 0001,,2017-08-15 19:15:19
11,1,2008-11-05 17:42:56,Internet MIS FMO Governance - 0043 & 0044,internet mis fmo governance - 0043 & 0044,,
12,1,2008-11-07 12:21:39,Max 16 Change - 0039,max 16 change - 0039,This Project is to change the existing Max product name to Max 10 and create a new product filter called Max 16 for new Max data.,
13,1,2008-11-08 02:19:36,Collections and Lixar Support - 0032,collections and lixar support - 0032,,2010-02-15 00:00:00
14,1,2008-11-11 12:12:54,iCORE - 0018,icore - 0018,,
15,1,2008-11-11 12:13:56,Credit Screener - 0018,credit screener - 0018,,2010-02-15 00:00:00
16,1,2008-11-12 12:02:59,EDW Assessments,edw assessments,,
17,1,2008-11-30 00:00:00,Rainbow,rainbow,,
18,1,2009-01-20 02:35:09,SMB - 0050 (0038),smb - 0050 (0038),,
19,1,2009-01-29 20:33:42,0042 - CSSM - MSTR Xmas 2008 Support,0042 - cssm - mstr xmas 2008 support,This is a project to handle Microstrategy Development and Production environment through the Xmas holidays.,2010-02-15 00:00:00
20,1,2009-02-13 17:55:05,Bell Internet - Project Management,bell internet - project management,PQAS and various other Projects,
22,4,2009-03-31 00:00:00,Support Services Contract,support services contract,,2017-08-14 14:06:52
23,4,2009-04-21 00:00:00,Consulting Services,consulting services,,2017-08-14 14:06:52
24,1,2009-04-21 07:55:22,Development Server Support - 0045,development server support - 0045,"Bell Canada DM4C3G Development Environment Support
- Datastage
- Tivoli
- IBM CDC",
25,8,2009-05-15 00:00:00,Marketing,marketing,,
26,9,2009-07-25 04:48:17,Current State & Benchmarking - 0001,current state & benchmarking - 0001,IT Current State Assessment and Best Practices Benchmarking Study,2017-08-14 15:52:35
27,10,2009-07-25 05:24:04,Pursuits,pursuits,,2017-08-15 19:15:31
28,1,2009-08-30 13:01:08,Bedrock - 0050 (0048),bedrock - 0050 (0048),"Too be on this project or to know anything, you need to sign a project specific NDA",2020-05-17 15:59:35
29,8,2010-01-14 00:00:00,Practice Management,practice management,,
30,6,2010-01-31 00:00:00,EDW Architecture & Model Review,edw architecture & model review,,2017-08-14 13:12:19
31,1,2010-02-15 05:46:05,OMIR - 0050,omir - 0050,,
32,1,2010-02-15 05:47:19,NDW - 0064,ndw - 0064,,
33,1,2010-02-15 06:01:19,0050 - BRS Reporting,0050 - brs reporting,,
34,1,2010-02-15 06:02:42,EDW Architecture - 0050,edw architecture - 0050,,
35,1,2010-04-23 11:09:12,Mobility Program Project Management - 0060 (0055),mobility program project management - 0060 (0055),"Mobility Program Support
- Project Management
- Business Analysis",
36,1,2010-04-26 10:06:26,Bell Internet - Subscriber Hierarchy - 0054,bell internet - subscriber hierarchy - 0054,Business Analysis,
37,1,2010-05-31 19:00:58,IP Relay - 0050,ip relay - 0050,Project Management Consulting,
38,8,2010-06-03 05:54:46,Research and Development (R&D),research and development (r&d),"With our commitment to R&D work that can lead to innovation in our process, tools and service offerings, this category has been created to allow for these important internal projects to track time against.",
39,1,2010-06-15 07:41:04,UPROAR - 0050,uproar - 0050,,
40,1,2010-07-12 00:00:00,ASO 5530,aso 5530,,2020-05-17 15:59:29
41,1,2010-07-26 10:43:19,IPTV BIP,iptv bip,,
42,1,2010-09-08 00:00:00,Bill 60 (0050),bill 60 (0050),,
43,1,2010-09-13 12:19:12,MISFMO Timing (0050),misfmo timing (0050),,
44,1,2010-10-01 15:31:53,Duplicate Mobility Cancellations,duplicate mobility cancellations,,
45,1,2010-11-01 14:31:21,Tax Exemption Datamart - TED - 0050,tax exemption datamart - ted - 0050,,
46,1,2010-11-12 20:59:41,PubTEL - 0056,pubtel - 0056,,
47,1,2010-11-12 21:04:49,BRMS,brms,,
48,1,2010-11-29 21:47:37,Bell Internet - BIRST - 0050,bell internet - birst - 0050,,2020-05-17 15:59:39
49,1,2010-12-13 07:11:15,CMF Upgrade,cmf upgrade,,
50,1,2011-02-10 11:00:57,Bell Internet Portfolio,bell internet portfolio,,
51,12,2011-03-30 18:06:52,CAT Development,cat development,,2017-08-14 14:05:04
52,13,2011-03-30 18:07:44,GARB - Initial Development,garb - initial development,,2017-08-15 19:15:31
53,1,2011-06-04 08:22:32,0097 - SRS - Technical Program,0097 - srs - technical program,,
54,1,2012-01-31 15:37:54,BRS Program - 0064,brs program - 0064,,
55,1,2012-05-03 15:29:15,SRS Technical - Grand Maison,srs technical - grand maison,,
56,14,2012-07-06 21:51:31,CI Dashboard,ci dashboard,,2017-08-13 20:56:12
57,15,2012-07-06 21:59:38,Lab Operations Reporting Requirements,lab operations reporting requirements,,2017-08-14 13:12:19
58,16,2012-07-12 18:16:18,0000 - MicroStrategy - Initial Implementation,0000 - microstrategy - initial implementation,,2017-08-14 13:12:19
59,1,2012-07-20 11:05:34,FTTX NNQET Reporting,fttx nnqet reporting,,
60,1,2012-07-20 11:07:48,Project Foxtrot,project foxtrot,,
61,12,2012-09-04 16:25:22,DPRA,dpra,,2017-08-14 14:05:04
62,48,2012-09-04 16:26:51,MSTR DBA Support,mstr dba support,,
63,18,2012-09-04 16:28:52,Brick Locator,brick locator,,2017-08-15 19:15:19
64,1,2012-10-24 10:27:11,CASL (Canadian Anti Spam Legislation),casl (canadian anti spam legislation),,
65,19,2012-10-30 13:57:10,MicroStrategy Upgrade,microstrategy upgrade,,2017-08-14 15:49:42
66,20,2012-11-21 13:06:29,Initial Prototype,initial prototype,,2017-08-14 14:05:54
67,1,2013-01-09 11:02:02,BRS Program - 0070,brs program - 0070,,
68,21,2013-02-04 13:13:52,POC,poc,,2017-08-14 14:05:54
69,22,2013-02-04 13:14:27,Initial Install on Desktop,initial install on desktop,,2017-08-15 19:15:19
70,24,2013-05-06 20:14:11,Benchmark Phase 1,benchmark phase 1,,2017-08-14 13:14:13
71,23,2013-05-06 20:14:40,IT Strategy,it strategy,,2017-08-14 13:12:19
72,25,2013-05-21 11:15:03,GeoDash,geodash,,2017-08-13 20:52:29
73,26,2013-06-22 09:43:45,Development,development,,
74,14,2013-06-24 15:34:52,Presentation Layer - Initial Working Sessions,presentation layer - initial working sessions,,
75,1,2013-06-24 17:20:01,MSTR Visualization,mstr visualization,,
76,27,2013-07-14 09:32:36,MicroStrategy,microstrategy,,2017-08-14 15:52:35
77,1,2013-10-06 20:58:15,Wireline,wireline,,
78,27,2013-10-28 11:39:47,Phase 2,phase 2,,2017-08-14 15:52:35
79,14,2013-12-02 14:55:18,Claims,claims,,2017-08-14 13:10:13
80,27,2013-12-03 16:01:25,Phase 3,phase 3,,2017-08-14 15:52:35
81,14,2014-01-22 12:43:54,Vendor Management,vendor management,Replace existing VM tool,2017-08-13 20:56:45
82,28,2014-01-23 13:44:16,MicroStrategy,microstrategy,,
83,14,2014-01-27 11:25:58,Detica,detica,,2017-08-14 13:10:13
84,1,2014-04-21 15:25:45,IPTV,iptv,,
85,29,2014-05-05 12:34:00,BI and EDW Review,bi and edw review,,2017-08-15 19:15:19
86,30,2014-05-05 12:36:49,Autofill Project,autofill project,,2017-08-14 15:49:42
88,24,2014-06-17 13:29:33,Support Contract,support contract,,2017-08-14 13:14:13
89,8,2014-06-17 13:31:01,iOS GeoDash Development,ios geodash development,,
92,1,2014-06-25 07:29:19,0078 - Big Data Ph01,0078 - big data ph01,,
93,1,2014-06-25 07:29:44,0078 - Big Data Ph02,0078 - big data ph02,,
94,1,2014-06-25 07:42:59,Engagement Management,engagement management,,
95,30,2014-07-08 10:41:10,Pharmacy Dashboard Project - 542-0002,pharmacy dashboard project - 542-0002,,2017-08-14 15:49:42
96,1,2014-08-11 08:49:26,BIg Data Program,big data program,,
97,1,2014-08-11 08:55:10,0085 - BIG Program (KH - CD) - CEA Ph02,0085 - big program (kh - cd) - cea ph02,"Program Manager : Karen H.
Resource : Carol Donohue

Record of Decision:
SOW 224-0085              : Apr 07, 2014 to Dec 31, 2014
SOW 224-0085 - CL01  : Jan 01, 2015 to Mar 31, 2015 @ half time commitment",
98,1,2014-08-11 23:56:46,0087 - MSTR Upgrade,0087 - mstr upgrade,"Bell CP3 : Todd Holowenko
Duration : 20 days until end of Sept 2014.
Key Personel : Nelson Ning
Purpose : Run Integrity Manager under CGI delivery",
99,1,2014-08-12 20:07:47,0083 - BIG Program (MDR - RN),0083 - big program (mdr - rn),"Program Manager : Manon
Resource : Rick Newburgh

Record of Decision : 
224-0083       : Jan 01, 2014 to Apr 30, 2014
224-0083-CL 01 : May 01, 2014 to Nov 28, 2014",
100,1,2014-08-12 20:33:02,0086 - BIG Program (MDR - AS),0086 - big program (mdr - as),"Program Manager : Manon
Resource : Atul

Record of Decision:
SOW-224-0086      : Apr 01, 2014 - Aug 1, 2014
SOW-224-0086-CL01 : Aug 01, 2014 - Nov 28, 2014",
101,1,2014-08-12 21:01:34,0077 - BIG Program (VA - RT),0077 - big program (va - rt),"Program Manager : Vince 
Resource : Roman Turezki

Record of decision:
224-0077       : Jan 01, 2014 to Aug 31, 2014
224-0077-CR-01 : Sep 02, 2014 to Dec 31, 2014",
102,1,2014-08-13 10:50:17,"0081 - BIG Program (MDR - CR, BG)","0081 - big program (mdr - cr, bg)","Program Manager : Manon 
Resource : Charles Richard, Bik Gill

Record of Decision :
SOW 224-0081    : Jan 01, 2014 to May 31, 2014 for C.R.
SOW 224-0081-CR-01 : - cancel C.R on Feb 14, 2014
                     - Bik : Mar 01, 2014 to Oct 10, 2014",
103,1,2014-08-20 14:45:32,0089 - Big Program (TB - SA),0089 - big program (tb - sa),"Program Manager : Tori
Resource : Sam Abramovich

Record of decision:
224-0089       : Aug 18, 2014 to Dec 31, 2015",
104,1,2014-08-29 09:53:32,0091 - TH - Big Data Program - Big Data Ph02,0091 - th - big data program - big data ph02,"Program Manager : Todd
Resource : 
Olivier Riboux
Omar Siddiqi
Anthony Kong
Anirudh Aggarwal
Jerry Mathias

Record of decision:
224-0091       : Aug 18, 2014 to Jan 31, 2015
224-0091       : Feb 01 to Jun 30, 2015 with misc allocations. (refer to CR)

Project : Big Data Ph02",
105,32,2014-09-05 16:13:46,Phase 1,phase 1,,2017-08-11 16:11:17
106,1,2014-10-07 23:43:26,0092- Big Program (MDR - AK),0092- big program (mdr - ak),"Program Manager : Manon
Resource : Alim Khan
Rate : $90/hr

Record of decision:
224-0092       : Sep 25, 2014 to Mar 31, 2015",
107,1,2014-10-07 23:47:24,0093- Big Program (MDR - YM),0093- big program (mdr - ym),"Program Manager : Manon
Resource : Yahya Mohammadyari
Rate : $90/hr

Record of decision:
224-0093       : Oct 20, 2014 to Mar 31, 2015",
108,1,2014-11-02 23:29:19,FoNSE,fonse,,
109,33,2014-11-24 09:31:24,Introduction and Health Check,introduction and health check,,2017-08-14 15:49:42
110,34,2014-11-24 09:40:38,003 - Mobile BI,003 - mobile bi,,2017-08-15 19:15:31
111,35,2014-11-24 15:33:39,RSGC BI,rsgc bi,,2017-08-14 13:10:43
112,1,2014-11-24 15:37:38,0072 - BPASS,0072 - bpass,,
113,1,2014-12-16 12:22:09,0094 - MH/AC - Fonse MSTR,0094 - mh/ac - fonse mstr,"Program Manager : Mark
Resource : Angel & Andrew
Rate : $100/hr

Record of decision:
224-0094              : Oct 27, 2014 to Dec 31, 2014
224-0094 - CL01 : Jan 01, 2015 to Feb 28, 2015",
114,24,2014-12-27 17:21:09,MicroStrategy  Upgrade,microstrategy  upgrade,,2017-08-14 13:14:13
115,1,2014-12-30 01:46:27,0097 - BTS Device Scanning App (Delivery) (MDR),0097 - bts device scanning app (delivery) (mdr),"Program Manager : Manon
Resource : Graham & Sun
Fixed Price : $47,800

Record of decision:
224-0097        : Nov 01, 2014 to Apr, 2015",
116,1,2014-12-30 02:04:16,0096 - MDR/JR - BTS Device Scanning App,0096 - mdr/jr - bts device scanning app,"Program Manager : Manon
Resource : Jason Rutherford
Rate : $90/hr

Record of decision:
224-0096        : Dec 08, 2014 to Mar 31, 2014

Project : BTS Device Scanning App.",
117,1,2014-12-30 02:05:15,0096 - MDR/JR - NGCC,0096 - mdr/jr - ngcc,"Program Manager : Manon
Resource : Jason Rutherford
Rate : $90/hr

Record of decision:
224-0096        : Dec 08, 2014 to Mar 31, 2014

Project : NGCC",
