id,customer_id,project_id,create_timestamp,completion_date,name,name_lower,description,deadline_date,billing_type_id,budget,parent_id
1,1,1,2008-11-05 00:00:00,2009-04-01,Normalization,normalization,,,1,,
2,1,1,2008-11-05 00:00:00,2009-04-16,"Development - Design, Develop, Test","development - design, develop, test",,,1,,
3,1,1,2008-11-05 00:00:00,2009-05-15,Business Analysis,business analysis,,,1,,
4,1,1,2008-11-05 00:00:00,2009-05-26,Project Management,project management,,,1,,
5,1,2,2008-11-05 00:00:00,2008-11-23,Testing,testing,,,1,,
6,1,2,2008-11-05 00:00:00,2012-05-03,Business Analysis,business analysis,,,1,,
7,1,6,2008-11-05 00:00:00,2012-05-03,Testing,testing,,,1,,
8,1,6,2008-11-05 00:00:00,2008-12-12,Business Analysis,business analysis,,,1,,
9,1,7,2008-11-05 00:00:00,2008-11-21,Testing,testing,,,1,,
10,1,7,2008-11-05 00:00:00,2009-01-07,Business Analysis,business analysis,,,1,,
11,1,8,2008-11-05 00:00:00,2008-11-07,BAR,bar,,,1,,
12,1,8,2008-11-05 00:00:00,2012-05-03,Acting Architect,acting architect,,,1,,
13,1,8,2008-11-05 00:00:00,2008-11-28,SMB,smb,,,1,,
14,1,9,2008-11-05 00:00:00,2010-09-19,"Analysis, Design, Develop, Test","analysis, design, develop, test",,,1,,
15,8,4,2008-11-05 00:00:00,2019-06-29,Sick Day,sick day,,,2,,
16,8,4,2008-11-05 00:00:00,2021-04-30,Onboarding Plan & First 90 Days,onboarding plan & first 90 days,,,2,,
17,8,4,2008-11-05 00:00:00,2015-08-27,Meetings,meetings,,,2,,
19,8,3,2008-11-05 00:00:00,,Teradata,teradata,,,2,,
20,8,3,2008-11-05 00:00:00,2012-05-03,RFP - Sympatico FMO,rfp - sympatico fmo,,,2,,
21,8,3,2008-11-05 00:00:00,2012-05-03,RFP - Smarter,rfp - smarter,,,2,,
22,8,3,2008-11-05 00:00:00,2011-03-02,RFP - CCO,rfp - cco,,,2,,
23,8,3,2008-11-05 00:00:00,2017-08-04,Various,various,,,2,,
24,8,3,2008-11-05 00:00:00,2011-07-08,Bell,bell,,,2,,
25,8,3,2008-11-05 00:00:00,,Planning,planning,,,2,,
26,8,3,2008-11-05 00:00:00,2011-04-29,Strategy,strategy,,,2,,
27,1,11,2008-11-05 00:00:00,2010-01-08,Development - 0044,development - 0044,,,2,,
28,1,11,2008-11-05 00:00:00,2009-10-30,Planning - 0044,planning - 0044,,,2,,
29,3,10,2008-11-05 00:00:00,2010-01-25,Consulting,consulting,,,2,,
30,8,5,2008-11-05 00:00:00,,Datamodelling,datamodelling,,,2,,
31,8,5,2008-11-05 00:00:00,,Datastage,datastage,,,2,,
32,8,5,2008-11-05 00:00:00,2016-09-15,Teradata,teradata,,,2,,
33,8,5,2008-11-05 00:00:00,,Microstrategy,microstrategy,,,2,,
34,8,5,2008-11-05 00:00:00,,Consulting,consulting,,,2,,
35,1,7,2008-11-06 00:00:00,2012-05-03,TEST_TASK_ROMAN,test_task_roman,,2008-11-27,1,,
36,1,1,2008-11-07 00:00:00,2009-01-14,CR POC #2,cr poc #2,,,1,,
37,1,12,2008-11-07 00:00:00,2012-05-03,Project Management,project management,,,1,,
38,1,12,2008-11-07 00:00:00,2012-05-03,Normalization,normalization,,,1,,
39,1,12,2008-11-07 00:00:00,2009-09-25,"Development - Design, Develop, Test","development - design, develop, test",,,1,,
40,1,12,2008-11-07 00:00:00,2009-01-15,Business Analysis,business analysis,,,1,,
41,1,13,2008-11-08 00:00:00,2009-04-17,Normalization,normalization,,,1,,
42,1,14,2008-11-11 00:00:00,2008-12-30,Testing,testing,,,1,,
43,1,14,2008-11-11 00:00:00,2012-05-03,Business Analysis,business analysis,,,1,,
44,1,15,2008-11-11 00:00:00,2009-03-24,Testing,testing,,,1,,
45,1,15,2008-11-11 00:00:00,2009-01-02,Business Analysis,business analysis,,,1,,
46,1,16,2008-11-12 00:00:00,2012-04-18,Analysis,analysis,,2012-04-30,1,,
47,1,16,2008-11-27 00:00:00,2012-05-03,Rainbow,rainbow,,,1,,
48,1,16,2008-11-27 00:00:00,2008-12-08,SMB,smb,,,1,,
49,1,16,2008-11-27 00:00:00,2008-12-08,EOM,eom,,,1,,
50,1,17,2008-11-30 00:00:00,2009-02-19,Analysis,analysis,,2008-12-05,2,,
51,1,17,2008-12-07 00:00:00,2009-01-02,Development,development,,,2,,
52,1,11,2008-12-23 00:00:00,2009-08-18,Business Analysys - 0043,business analysys - 0043,,,1,,
53,8,4,2008-12-31 00:00:00,2020-05-18,Statutory Holiday,statutory holiday,,,2,,
54,1,18,2009-01-20 00:00:00,2011-05-04,Business Analysis,business analysis,,,1,,
55,1,20,2009-02-13 00:00:00,2009-04-30,Finance End to End,finance end to end,,,1,,
56,1,20,2009-02-13 00:00:00,2009-07-03,Wi-Max and Lixar Feed,wi-max and lixar feed,,,1,,
57,1,20,2009-02-13 00:00:00,2009-02-12,Tapestry NGR Interface,tapestry ngr interface,,,1,,
58,1,20,2009-02-13 00:00:00,2009-04-20,Bandwidth Management,bandwidth management,,,1,,
59,1,20,2009-02-13 00:00:00,2009-02-20,PQAS,pqas,,,1,,
60,1,20,2009-02-13 00:00:00,2009-04-23,DSL Dry Unbundled Loop,dsl dry unbundled loop,,,1,,
61,1,20,2009-02-24 00:00:00,2009-03-23,Low Cost Modems,low cost modems,,,1,,
62,1,20,2009-03-22 00:00:00,2009-03-31,Modem Price Increase,modem price increase,,,1,,
64,4,22,2009-03-31 00:00:00,2012-10-09,Servers Management,servers management,,,1,,
65,4,22,2009-03-31 00:00:00,2012-10-09,Router Management,router management,,,1,,
66,4,22,2009-03-31 00:00:00,2009-03-30,VPN Management,vpn management,,,1,,
67,8,4,2009-03-31 00:00:00,,Internal Systems Work,internal systems work,,,2,,
68,4,23,2009-04-21 00:00:00,2017-08-14,IT Strategic Work,it strategic work,,,1,,
69,4,23,2009-04-21 00:00:00,2012-10-09,Application,application,,,1,,
70,4,23,2009-04-21 00:00:00,2009-05-15,Infrastructure,infrastructure,,,1,,
71,1,24,2009-04-21 00:00:00,,Project Specific Support,project specific support,,,1,,
72,1,24,2009-04-21 00:00:00,,Operational Support,operational support,,,1,,
